日付,曜日,工場売上,工場仕入,工場内粗利,工場内粗利利益率,ヤード売上,ヤード仕入,ヤード粗利,ヤード利益率,手数料他,工場内売上計,工場内仕入計,工場内粗利計,利益率
2023/1/4,水,1013330,2458410,-1445080,-1.42607048,363566,7215,356351,0.98015491,6480,1376896,2472105,-1095209,-0.795418826
2023/1/5,木,3766740,2739480,1027260,0.272718584,517390,186390,331000,0.639749512,9770,4284130,2935640,1348490,0.314764024
2023/1/6,金,3732410,3196143,536267,0.143678481,990030,324680,665350,0.672050342,18700,4722440,3539523,1182917,0.250488519
2023/1/7,土,3364690,2772340,592350,0.176048908,649650,496845,152805,0.235211268,67430,4014340,3336615,677725,0.168826009
2023/1/8,日,785350,0,785350,1,91840,230130,-138290,-1.505770906,8370,877190,238500,638690,0.728109076
2023/1/9,月,1174480,753510,420970,0.358430965,52890,112560,-59670,-1.128190584,150,1227370,866220,361150,0.294247049
2023/1/10,火,4010380,1151280,2859100,0.71292496,990540,266815,723725,0.730636824,58500,5000920,1476595,3524325,0.704735329
2023/1/11,水,4305730,344600,3961130,0.919967114,365930,131565,234365,0.640464023,13210,4671660,489375,4182285,0.895246015
2023/1/12,木,4283670,2145980,2137690,0.499032372,342550,177730,164820,0.481156036,7290,4626220,2331000,2295220,0.496132912
2023/1/13,金,4994350,1553600,3440750,0.688928489,704605,223360,481245,0.682999695,46070,5698955,1823030,3875925,0.680111529
2023/1/14,土,3721280,2056910,1664370,0.447257395,625210,357515,267695,0.428168136,2460,4346490,2416885,1929605,0.443945574
2023/1/15,日,876370,0,876370,1,81410,228900,-147490,-1.811693895,12150,957780,241050,716730,0.74832425
2023/1/16,月,4464080,1083090,3380990,0.75737666,1131495,217600,913895,0.807688059,27150,5595575,1327840,4267735,0.762698203
2023/1/17,火,4491870,2033843,2458027,0.547216861,364550,230295,134255,0.368275957,39380,4856420,2303518,2552902,0.525675704
2023/1/18,水,5806340,1667780,4138560,0.712765701,628090,197325,430765,0.68583324,20890,6434430,1885995,4548435,0.706890121
2023/1/19,木,4268510,1866406,2402104,0.562749999,388850,221175,167675,0.431207406,29040,4657360,2116621,2540739,0.545532018
2023/1/20,金,4388090,2041550,2346540,0.534752022,983175,282820,700355,0.712340123,89770,5371265,2414140,2957125,0.550545356
2023/1/21,土,3456410,1571740,1884670,0.545268067,1084985,105765,979220,0.90251939,6820,4541395,1684325,2857070,0.629117265
2023/1/22,日,908260,0,908260,1,59370,40540,18830,0.317163551,11070,967630,51610,916020,0.946663497
2023/1/23,月,4171240,1425690,2745550,0.658209549,388065,121295,266770,0.687436383,74070,4559305,1621055,2938250,0.644451292
2023/1/24,火,4645850,1937987,2707863,0.582856313,541895,177470,364425,0.67250113,30890,5187745,2146347,3041398,0.586265902
2023/1/25,水,5758330,1869630,3888700,0.675317323,810860,367145,443715,0.547215302,60545,6569190,2297320,4271870,0.650288696
2023/1/26,木,6220150,1698433,4521717,0.726946617,775550,200580,574970,0.74137064,37130,6995700,1936143,5059557,0.723238132
2023/1/27,金,4837240,1907300,2929940,0.605704906,1565540,212140,1353400,0.86449404,45030,6402780,2164470,4238310,0.661948404
2023/1/28,土,4802030,2082500,2719530,0.56632924,203510,268425,-64915,-0.318976954,24050,5005540,2374975,2630565,0.525530712
2023/1/29,日,844320,0,844320,1,0,38325,-38325,0,16970,844320,55295,789025,0.934509428
2023/1/30,月,4497150,1583120,2914030,0.647972605,357720,220065,137655,0.384812144,22160,4854870,1825345,3029525,0.624017739
2023/1/31,火,5718506,3378356,2340150,0.409224018,1309604,328870,980734,0.748878287,155086,7028110,3862312,3165798,0.450447987
2023/2/1,水,4565090,1410960,3154130,0.690923947,578305,295255,283050,0.48944761,43080,5143395,1749295,3394100,0.659894875
2023/2/2,木,5098780,2686400,2412380,0.473128866,366570,303330,63240,0.172518209,74450,5465350,3064180,2401170,0.439344232
2023/2/3,金,5349580,2512416,2837164,0.530352663,851145,210605,640540,0.752562724,169460,6200725,2892481,3308244,0.533525354
2023/2/4,土,4185810,2344090,1841720,0.439991304,690500,260700,429800,0.622447502,12860,4876310,2617650,2258660,0.463190404
2023/2/5,日,965220,0,965220,1,0,233020,-233020,0,200,965220,233220,732000,0.758376329
2023/2/6,月,5308070,1476100,3831970,0.721913991,774050,395825,378225,0.488631225,54960,6082120,1926885,4155235,0.683188592
2023/2/7,火,4997454,3051880,1945574,0.389313038,585440,335440,250000,0.427029243,20050,5582894,3407370,2175524,0.389676752
2023/2/8,水,5233020,1592490,3640530,0.695684328,1082780,293295,789485,0.729127801,56570,6315800,1942355,4373445,0.692460971
2023/2/9,木,5679480,2638970,3040510,0.535350067,559590,362725,196865,0.351802212,50860,6239070,3052555,3186515,0.510735574
2023/2/10,金,5499490,2909000,2590490,0.47104186,1440900,610120,830780,0.576570199,54840,6940390,3573960,3366430,0.485049111
2023/2/11,土,2642450,781780,1860670,0.704145774,135580,448770,-313190,-2.310001475,16500,2778030,1247050,1530980,0.55110276
2023/2/12,日,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/2/13,月,5768370,1759915,4008455,0.694902546,766190,366650,399540,0.521463345,15390,6534560,2141955,4392605,0.672211289
2023/2/14,火,5421840,1568060,3853780,0.710788219,612625,213420,399205,0.65163028,32530,6034465,1814010,4220455,0.699391744
2023/2/15,水,5505700,1386060,4119640,0.748249995,444710,372515,72195,0.162341751,72410,5950410,1830985,4119425,0.692292632
2023/2/16,木,4454400,2753440,1700960,0.381860632,1224240,201760,1022480,0.835195713,30400,5678640,2985600,2693040,0.474240311
2023/2/17,金,4910120,2201380,2708740,0.551664725,922100,276180,645920,0.700488016,24610,5832220,2502170,3330050,0.570974689
2023/2/18,土,5125060,2189220,2935840,0.572840123,798170,552040,246130,0.308367892,28400,5923230,2769660,3153570,0.532407149
2023/2/19,日,619160,0,619160,1,234260,84300,149960,0.64014343,0,853420,84300,769120,0.90122097
2023/2/20,月,6391190,1993760,4397430,0.688045575,606700,416410,190290,0.313647602,43610,6997890,2453780,4544110,0.649354305
2023/2/21,火,6519930,2637830,3882100,0.595420503,887627,333865,553762,0.623867908,68050,7407557,3039745,4367812,0.589642712
2023/2/22,水,5034820,2026216,3008604,0.597559396,585070,286515,298555,0.510289367,27050,5619890,2339781,3280109,0.583660712
2023/2/23,木,2607400,1470810,1136590,0.435909335,112840,1004140,-891300,-7.898794754,12650,2720240,2487600,232640,0.085521866
2023/2/24,金,6018580,2232501,3786079,0.629065162,2488525,575025,1913500,0.768929386,21560,8507105,2829086,5678019,0.66744433
2023/2/25,土,4514375,2102630,2411745,0.534236744,1686030,394070,1291960,0.766273435,35200,6200405,2531900,3668505,0.591655706
2023/2/26,日,1281160,0,1281160,1,0,106610,-106610,0,0,1281160,106610,1174550,0.91678635
